Nes,rep,N,r,window_1,window_2
0.02,14,1000,0.0001,0.022578483614180887,0.020496671178558988
0.5,14,1000,0.0001,0.026552520399020067,0.02583800887244381
0.5,28,1000,0.0001,0.028821203352167656,0.026401750029501583
0.01,30,1000,0.0001,0.030026757727886575,0.02868074474923767
2.0,22,1000,0.0001,0.03098994329316475,0.027324509659483118
10.0,28,1000,0.0001,0.029601822555127756,0.021834594321716208
25.0,27,1000,0.0001,0.028695945379268995,0.028553767661383244
0.0,146,1000,0.0001,0.02925774892644641,0.028590218512925737
8.0,22,1000,0.0001,0.028153353017650956,0.02514014242112118
1.0,32,1000,0.0001,0.027883382004100423,0.02160615440772058
4.0,12,1000,0.0001,0.023676360487024456,0.028624626277313957
12.0,13,1000,0.0001,0.025563110611530698,0.02783452819440988
10.0,17,1000,0.0001,0.02438187304465243,0.02671157945297274
22.0,35,1000,0.0001,0.02616274578328924,0.030987212732636743
20.0,0,1000,0.0001,0.028789445415270787,0.025170996758838042
0.0,202,1000,0.0001,0.025742606026301382,0.02883185092254625
8.0,44,1000,0.0001,0.030396364025201416,0.03197847769488481
25.0,31,1000,0.0001,0.028746202051102693,0.029775978021901257
18.0,35,1000,0.0001,0.01902951277563883,0.02621705590679531
0.0,212,1000,0.0001,0.027360753104655397,0.02711622953847711
200.0,46,1000,0.0001,0.019080090256512982,0.02721738344717245
0.0,38,1000,0.0001,0.023270993483674327,0.025099796018801097
20.0,31,1000,0.0001,0.02477987019851006,0.026537480835041878
0.5,9,1000,0.0001,0.026044490229511587,0.02047504929846504
0.0,55,1000,0.0001,0.031248077075853916,0.02604235310865557
0.01,7,1000,0.0001,0.028947339197960106,0.029061742774138817
0.1,13,1000,0.0001,0.03204509474473732,0.027495229239462123
0.02,39,1000,0.0001,0.025895572498625063,0.023725454761738218
0.2,17,1000,0.0001,0.0274601515955799,0.028866853097655
28.0,15,1000,0.0001,0.026749702626131393,0.02780875631081559
12.0,47,1000,0.0001,0.027266688523426244,0.028811229260463228
30.0,6,1000,0.0001,0.03366482811740594,0.032409601082054276
